Participant Code,LetterGrade,PercentGrade,Are you presently a computer science major?,Do you plan to become a computer science major?,How likely are you to switch your major to computer science?,How likely are you to switch to a major that is not computer science?,How likely are you to enroll in the next course in the computer science sequence (CS 112)?,I liked having two different programming languages this semester,Being exposed to two programming languages helped me learn,My favorite programming language taught this semester was,I would recommend that this course continue to be taught in two languages,,,,,,,,,,,,,,,,,,
84,A,94.17,Yes,,,2 - Somewhat Unlikely,5 - Very Likely,Strongly Agree,Strongly Agree,JavaScript,Strongly Agree,,,,,,,,,,,,,,,,,,
86,C,76.05,Yes,,,1 - Very Unlikely,5 - Very Likely,Strongly Agree,Strongly Agree,C++,Strongly Agree,,,,,,,,,,,,,,,,,,
1,A,97.72,No,5 - Very Likely,5 - Very Likely,,5 - Very Likely,Agree,Agree,C++,Agree,,,,,,,,,,,,,,,,,,
7,A,95.33,Yes,,,1 - Very Unlikely,5 - Very Likely,Agree,Agree,C++,Agree,,,,,,,,,,,,,,,,,,
11,A,98.52,No,5 - Very Likely,5 - Very Likely,,5 - Very Likely,Strongly Agree,Strongly Agree,C++,Strongly Agree,,,,,,,,,,,,,,,,,,
12,A,99.26,No,1 - Very Unlikely,2 - Somewhat Unlikely,,3 - Unsure,Agree,Strongly Agree,Racket,Agree,,,,,,,,,,,,,,,,,,
13,A,98.63,Yes,,,1 - Very Unlikely,1 - Very Unlikely,Strongly Agree,Strongly Agree,C++,Agree,,,,,,,,,,,,,,,,,,
15,C,74.94,No,1 - Very Unlikely,2 - Somewhat Unlikely,,5 - Very Likely,Disagree,Neutral,C++,Disagree,,,,,,,,,,,,,,,,,,
18,A,101.81,Yes,,,1 - Very Unlikely,5 - Very Likely,Agree,Strongly Agree,C++,Strongly Agree,,,,,,,,,,,,,,,,,,
22,D+,66.69,No,1 - Very Unlikely,1 - Very Unlikely,,1 - Very Unlikely,Agree,Neutral,C++,Neutral,,,,,,,,,,,,,,,,,,
27,A,99.75,No,3 - Unsure,1 - Very Unlikely,,1 - Very Unlikely,Neutral,Neutral,C++,Neutral,,,,,,,,,,,,,,,,,,
31,A,94.57,No,5 - Very Likely,5 - Very Likely,,5 - Very Likely,Strongly Agree,Strongly Agree,C++,Strongly Agree,,,,,,,,,,,,,,,,,,
32,C+,76.92,No,1 - Very Unlikely,1 - Very Unlikely,,1 - Very Unlikely,Disagree,Neutral,C++,Disagree,,,,,,,,,,,,,,,,,,
36,A,97.53,No,1 - Very Unlikely,1 - Very Unlikely,,3 - Unsure,Neutral,Neutral,C++,Neutral,,,,,,,,,,,,,,,,,,
37,A,97.72,No,3 - Unsure,4 - Likely,,4 - Likely,Agree,Agree,I did not have a favorite,Strongly Agree,,,,,,,,,,,,,,,,,,
38,A,99.67,No,2 - Somewhat Unlikely,1 - Very Unlikely,,2 - Somewhat Unlikely,Agree,Agree,C++,Agree,,,,,,,,,,,,,,,,,,
40,A,93.31,No,2 - Somewhat Unlikely,3 - Unsure,,4 - Likely,Agree,Agree,Racket,Neutral,,,,,,,,,,,,,,,,,,
41,C,73.58,Yes,,,4 - Likely,4 - Likely,Strongly Disagree,Strongly Disagree,C++,Strongly Disagree,,,,,,,,,,,,,,,,,,
42,B+,87.81,No,2 - Somewhat Unlikely,2 - Somewhat Unlikely,,2 - Somewhat Unlikely,Strongly Agree,Strongly Agree,Racket,Agree,,,,,,,,,,,,,,,,,,
45,A,95.51,Yes,,,1 - Very Unlikely,5 - Very Likely,Agree,Agree,C++,Agree,,,,,,,,,,,,,,,,,,
52,A-,90.78,No,1 - Very Unlikely,1 - Very Unlikely,,1 - Very Unlikely,Strongly Agree,Agree,Racket,Strongly Agree,,,,,,,,,,,,,,,,,,
57,A,106,Yes,,,1 - Very Unlikely,5 - Very Likely,Agree,Strongly Agree,C++,Agree,,,,,,,,,,,,,,,,,,
62,B,82.66,Yes,,,2 - Somewhat Unlikely,5 - Very Likely,Strongly Agree,Disagree,C++,Disagree,,,,,,,,,,,,,,,,,,
66,C,73.94,No,2 - Somewhat Unlikely,3 - Unsure,,1 - Very Unlikely,Agree,Strongly Agree,Racket,Strongly Agree,,,,,,,,,,,,,,,,,,
79,B+,86.68,No,1 - Very Unlikely,1 - Very Unlikely,,1 - Very Unlikely,Neutral,Neutral,Racket,Neutral,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.88,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.35,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.59,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.39,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.09,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.24,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.68,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.47,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.56,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.83,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.33,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.47,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.26,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.76,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.03,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.81,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.89,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.04,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.23,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.44,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.36,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.93,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.73,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.58,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.73,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.94,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.39,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.54,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.53,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.88,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.94,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.89,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.97,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.03,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.54,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.48,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.68,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.75,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.54,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
